DateTimeIndex,Month,Year,Subsector,Sales
2012-12-01,Dec,2012,Health and Personal Care Stores,45797
2012-12-01,Dec,2012,Miscellaneous Store Retailers,19165
2012-12-01,Dec,2012,Motor Vehicle and Parts Dealers,278082
2012-12-01,Dec,2012,Nonstore Retailers,91018
2012-12-01,Dec,2012,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",20893
2012-12-01,Dec,2012,Unknown,2516945
2013-01-01,Jan,2013,Building Material and Garden Equipment and Supplies Dealers,38467
2013-01-01,Jan,2013,Clothing and Clothing Accessories Stores,40126
2013-01-01,Jan,2013,Electronics and Appliance Stores,16336
2013-01-01,Jan,2013,Food and Beverage Retailers,147134
2013-01-01,Jan,2013,Food Services and Drinking Places,116432
2013-01-01,Jan,2013,Furniture and Home Furnishings Stores,33304
2013-01-01,Jan,2013,Gasoline Stations,41761
2013-01-01,Jan,2013,General Merchandise Stores,139941
2013-01-01,Jan,2013,Health and Personal Care Stores,43075
2013-01-01,Jan,2013,Miscellaneous Store Retailers,14252
2013-01-01,Jan,2013,Motor Vehicle and Parts Dealers,258730
2013-01-01,Jan,2013,Nonstore Retailers,69385
2013-01-01,Jan,2013,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",12290
2013-01-01,Jan,2013,Unknown,1964022
2013-02-01,Feb,2013,Building Material and Garden Equipment and Supplies Dealers,37062
2013-02-01,Feb,2013,Clothing and Clothing Accessories Stores,45447
2013-02-01,Feb,2013,Electronics and Appliance Stores,16522
2013-02-01,Feb,2013,Food and Beverage Retailers,137722
2013-02-01,Feb,2013,Food Services and Drinking Places,115261
2013-02-01,Feb,2013,Furniture and Home Furnishings Stores,32580
2013-02-01,Feb,2013,Gasoline Stations,42227
2013-02-01,Feb,2013,General Merchandise Stores,145638
2013-02-01,Feb,2013,Health and Personal Care Stores,39885
2013-02-01,Feb,2013,Miscellaneous Store Retailers,14150
2013-02-01,Feb,2013,Motor Vehicle and Parts Dealers,272626
2013-02-01,Feb,2013,Nonstore Retailers,62789
2013-02-01,Feb,2013,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",10428
2013-02-01,Feb,2013,Unknown,1946436
2013-03-01,Mar,2013,Building Material and Garden Equipment and Supplies Dealers,45223
2013-03-01,Mar,2013,Clothing and Clothing Accessories Stores,54735
2013-03-01,Mar,2013,Electronics and Appliance Stores,16572
2013-03-01,Mar,2013,Food and Beverage Retailers,153648
2013-03-01,Mar,2013,Food Services and Drinking Places,132509
2013-03-01,Mar,2013,Furniture and Home Furnishings Stores,35271
2013-03-01,Mar,2013,Gasoline Stations,47729
2013-03-01,Mar,2013,General Merchandise Stores,164124
2013-03-01,Mar,2013,Health and Personal Care Stores,43044
2013-03-01,Mar,2013,Miscellaneous Store Retailers,15241
2013-03-01,Mar,2013,Motor Vehicle and Parts Dealers,310928
2013-03-01,Mar,2013,Nonstore Retailers,65806
2013-03-01,Mar,2013,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",12412
2013-03-01,Mar,2013,Unknown,2189222
2013-04-01,Apr,2013,Building Material and Garden Equipment and Supplies Dealers,55251
2013-04-01,Apr,2013,Clothing and Clothing Accessories Stores,50938
2013-04-01,Apr,2013,Electronics and Appliance Stores,14716
2013-04-01,Apr,2013,Food and Beverage Retailers,142539
2013-04-01,Apr,2013,Food Services and Drinking Places,125919
2013-04-01,Apr,2013,Furniture and Home Furnishings Stores,32602
2013-04-01,Apr,2013,Gasoline Stations,46812
2013-04-01,Apr,2013,General Merchandise Stores,150360
2013-04-01,Apr,2013,Health and Personal Care Stores,41840
2013-04-01,Apr,2013,Miscellaneous Store Retailers,15038
2013-04-01,Apr,2013,Motor Vehicle and Parts Dealers,301336
2013-04-01,Apr,2013,Nonstore Retailers,63662
2013-04-01,Apr,2013,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",11161
2013-04-01,Apr,2013,Unknown,2113923
2013-05-01,May,2013,Building Material and Garden Equipment and Supplies Dealers,61988
2013-05-01,May,2013,Clothing and Clothing Accessories Stores,55049
2013-05-01,May,2013,Electronics and Appliance Stores,15782
2013-05-01,May,2013,Food and Beverage Retailers,156186
2013-05-01,May,2013,Food Services and Drinking Places,131729
2013-05-01,May,2013,Furniture and Home Furnishings Stores,34996
2013-05-01,May,2013,Gasoline Stations,49191
2013-05-01,May,2013,General Merchandise Stores,164901
2013-05-01,May,2013,Health and Personal Care Stores,43193
2013-05-01,May,2013,Miscellaneous Store Retailers,16998
2013-05-01,May,2013,Motor Vehicle and Parts Dealers,320178
2013-05-01,May,2013,Nonstore Retailers,63852
2013-05-01,May,2013,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",11978
2013-05-01,May,2013,Unknown,2269646
2013-06-01,Jun,2013,Building Material and Garden Equipment and Supplies Dealers,53833
2013-06-01,Jun,2013,Clothing and Clothing Accessories Stores,50436
2013-06-01,Jun,2013,Electronics and Appliance Stores,15734
2013-06-01,Jun,2013,Food and Beverage Retailers,150510
2013-06-01,Jun,2013,Food Services and Drinking Places,126997
2013-06-01,Jun,2013,Furniture and Home Furnishings Stores,34001
2013-06-01,Jun,2013,Gasoline Stations,48482
2013-06-01,Jun,2013,General Merchandise Stores,160128
2013-06-01,Jun,2013,Health and Personal Care Stores,40475
2013-06-01,Jun,2013,Miscellaneous Store Retailers,15517
2013-06-01,Jun,2013,Motor Vehicle and Parts Dealers,305102
2013-06-01,Jun,2013,Nonstore Retailers,59060
2013-06-01,Jun,2013,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",12241
2013-06-01,Jun,2013,Unknown,2149214
2013-07-01,Jul,2013,Building Material and Garden Equipment and Supplies Dealers,53998
2013-07-01,Jul,2013,Clothing and Clothing Accessories Stores,51022
2013-07-01,Jul,2013,Electronics and Appliance Stores,16126
2013-07-01,Jul,2013,Food and Beverage Retailers,153968
2013-07-01,Jul,2013,Food Services and Drinking Places,127417
2013-07-01,Jul,2013,Furniture and Home Furnishings Stores,35738
2013-07-01,Jul,2013,Gasoline Stations,49822
2013-07-01,Jul,2013,General Merchandise Stores,156273
2013-07-01,Jul,2013,Health and Personal Care Stores,42298
2013-07-01,Jul,2013,Miscellaneous Store Retailers,16226
2013-07-01,Jul,2013,Motor Vehicle and Parts Dealers,319208
2013-07-01,Jul,2013,Nonstore Retailers,61772
2013-07-01,Jul,2013,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",12075
2013-07-01,Jul,2013,Unknown,2182020
2013-08-01,Aug,2013,Building Material and Garden Equipment and Supplies Dealers,51776
2013-08-01,Aug,2013,Clothing and Clothing Accessories Stores,56811
2013-08-01,Aug,2013,Electronics and Appliance Stores,16802
2013-08-01,Aug,2013,Food and Beverage Retailers,155620
2013-08-01,Aug,2013,Food Services and Drinking Places,130746
2013-08-01,Aug,2013,Furniture and Home Furnishings Stores,37719
2013-08-01,Aug,2013,Gasoline Stations,49556
2013-08-01,Aug,2013,General Merchandise Stores,166131
2013-08-01,Aug,2013,Health and Personal Care Stores,42667
2013-08-01,Aug,2013,Miscellaneous Store Retailers,17783
2013-08-01,Aug,2013,Motor Vehicle and Parts Dealers,329640
2013-08-01,Aug,2013,Nonstore Retailers,63747
2013-08-01,Aug,2013,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",14574
2013-08-01,Aug,2013,Unknown,2255899
2013-09-01,Sep,2013,Building Material and Garden Equipment and Supplies Dealers,48092
2013-09-01,Sep,2013,Clothing and Clothing Accessories Stores,48164
2013-09-01,Sep,2013,Electronics and Appliance Stores,15702
2013-09-01,Sep,2013,Food and Beverage Retailers,146342
2013-09-01,Sep,2013,Food Services and Drinking Places,120106
2013-09-01,Sep,2013,Furniture and Home Furnishings Stores,35019
2013-09-01,Sep,2013,Gasoline Stations,46065
2013-09-01,Sep,2013,General Merchandise Stores,150162
2013-09-01,Sep,2013,Health and Personal Care Stores,41713
